StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Male,Q3_Browser,Q3_Version,Q3_Operating System,Q3_Resolution,Household_Income,English_as_primary,Primary_Language_Non_English,Other_Language_Spoken,Other_Language_Spoken(non_english_primary),Drink_Frequency,Cab_Preference,Purchase_Frequency,Guess_the_Cost,Comment,Purchase_50,Purchase_35,Purchase_20,Milk_Cost,MTurkCode,Track,US_Origin,French_Purchasing_Page,German_Purchasing_Page,Long_Description
7/31/2018 16:05,7/31/2018 16:07,0,65.36.61.4,100,83,1,7/31/2018 16:07,R_21tF4oZX0MVdw9L,,,,,30.49980164,-97.80819702,anonymous,EN,1,Firefox,61,Windows NT 10.0,1536x864,2,1,,3,,2,1,3,45,It is of good quality.,1,1,1,,58537745,English_English_short,1,0,0,0
7/31/2018 16:06,7/31/2018 16:07,0,75.110.108.8,100,84,1,7/31/2018 16:07,R_2PtFaBkmsbl1USc,,,,,35.98640442,-77.85199738,anonymous,EN,2,Chrome,66.0.3359.158,Android 6.0.1,360x640,3,1,,3,,5,,5,20,It has a nice looking bottle label. ,0,0,0,,65778487,French_German_short,0,0,1,0
7/31/2018 16:06,7/31/2018 16:07,0,76.31.200.170,100,82,1,7/31/2018 16:07,R_1hNlsWaWvEzLFWz,,,,,29.73950195,-95.38790131,anonymous,EN,1,Chrome,67.0.3396.99,Macintosh,1440x900,4,1,,3,,3,1,3,16,Seems like it would be good,0,0,1,,80177614,English_German_short,1,0,1,0
7/31/2018 16:06,7/31/2018 16:08,0,206.74.105.224,100,103,1,7/31/2018 16:08,R_10PKWILW3WOmmui,,,,,34.36410522,-82.34400177,anonymous,EN,2,Chrome,67.0.3396.99,Macintosh,2560x1440,2,1,,3,,2,1,3,28,The tasting notes sound appealing. It looks like a nice wine. ,0,0,1,,74213986,French_English_long,0,0,0,1
7/31/2018 16:07,7/31/2018 16:08,0,184.89.75.82,100,71,1,7/31/2018 16:08,R_1gRSxxnVuKI2kez,,,,,28.01699829,-80.67359924,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 6.3,1366x768,4,1,,3,,2,1,3,30,good,1,1,1,,66285864,English_German_long,1,0,1,1
7/31/2018 16:06,7/31/2018 16:09,0,138.128.18.198,100,158,1,7/31/2018 16:09,R_tDrPNCcqYIC6lP3,,,,,34.05839539,-118.2779999,anonymous,EN,2,Chrome,68.0.3440.75,Windows NT 6.1,1024x768,1,1,,3,,3,1,3,20,To Get Body is Smoothly and take Sharply the skin by using wine.,1,1,1,,64995168,English_French_short,1,1,0,0
7/31/2018 16:06,7/31/2018 16:09,0,71.63.14.119,100,183,1,7/31/2018 16:09,R_pRZBvrHgwAFktqN,,,,,37.55220032,-77.45819855,anonymous,EN,2,Chrome,67.0.3396.99,Macintosh,1440x900,5,1,,3,,3,2,3,20,"I see that the evaluation means that it's highly rated, however, since it's a more recent year, I can't imagine that it is intensely expensive. Since it's from France, I imagine that contributes to its excellence.",0,0,1,,44515909,French_French_short,0,1,0,0
7/31/2018 16:07,7/31/2018 16:09,0,99.64.87.195,100,104,1,7/31/2018 16:09,R_3Ddd0oIW5pihYk5,,,,,34.02639771,-84.69979858,anonymous,EN,2,Chrome,68.0.3440.84,Windows NT 6.1,1366x768,2,1,,3,,3,2,3,20,I think this is a good quality wine. The reviews of 5/5 stars give the impression it is of good quality and taste. I enjoy the simple label. ,0,0,1,,86036373,English_French_long,1,1,0,1
7/31/2018 16:06,7/31/2018 16:09,0,71.223.65.34,100,163,1,7/31/2018 16:09,R_33a6lPyrCxyZIWJ,,,,,33.59089661,-112.3311005,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 10.0,1366x768,2,1,,3,,4,1,4,10,would probably taste good,0,0,0,,73243848,French_English_short,0,0,0,0
7/31/2018 16:07,7/31/2018 16:09,0,69.71.8.90,100,103,1,7/31/2018 16:09,R_10Ah4RAjxr0ZlQx,,,,,37.146698,-93.08270264,anonymous,EN,1,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,6,1,,3,,4,1,4,24.95,I can only guess that it is of mediocre quality.,1,1,1,,40327086,French_German_short,0,0,1,0
7/31/2018 16:08,7/31/2018 16:09,0,75.133.98.163,100,75,1,7/31/2018 16:09,R_2fdlJzQYsvI9jW1,,,,,41.46749878,-73.24060059,anonymous,EN,1,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,2,1,,3,,2,1,2,15,"Looks fine, basic label very English name for a French wine",0,0,0,,31992986,French_English_short,0,0,0,0
7/31/2018 16:06,7/31/2018 16:09,0,72.193.175.4,100,181,1,7/31/2018 16:09,R_2Tv2Ba8QMzOug55,,,,,36.03120422,-115.0738983,anonymous,EN,1,Chrome,67.0.3396.99,Linux x86_64,1366x768,3,1,,3,,2,2,2,40,The main thing I notice is that the wine score is very high. This alone is enough to make me consider purchasing this wine.,1,1,1,,84936903,English_English_long,1,0,0,1
7/31/2018 16:07,7/31/2018 16:10,0,65.34.148.248,100,137,1,7/31/2018 16:10,R_1OjfN1SAkzn9Xg2,,,,,26.24420166,-80.2059021,anonymous,EN,2,Firefox,61,Windows NT 10.0,1080x1920,4,1,,3,,2,1,2,21,"It has a good rating, but I would like to see the reviews.  Cabs tend to be on the sweet side, and the description on this one describes a wine that could be a bit sweet.  Still, I have a good first impression of the wine, and I like the fact that the bottle isn't all decorated up.  ",0,0,1,,17931809,English_English_long,1,0,0,1
7/31/2018 16:08,7/31/2018 16:10,0,173.75.42.77,100,101,1,7/31/2018 16:10,R_yQ7hJA7iFP2oC2d,,,,,40.46809387,-79.91139984,anonymous,EN,1,Chrome,67.0.3396.99,Windows NT 6.1,1366x768,3,1,,3,,4,1,4,18,"I perceive this to be a rather simple and straightforward bottle of wine based on the label. It gets awards and a high evaluation score, but it does not seem to be the most exciting wine.",0,0,1,,86405920,English_French_long,1,1,0,1
7/31/2018 16:08,7/31/2018 16:10,0,98.20.183.64,100,101,1,7/31/2018 16:10,R_2B52BrLnku4MAIw,,,,,29.83230591,-82.58540344,anonymous,EN,1,Chrome,67.0.3396.99,Windows NT 10.0,1366x768,5,1,,3,,3,1,3,19,it sounds like along the line of what I would like,0,0,1,,18193564,French_French_short,0,1,0,0
7/31/2018 16:09,7/31/2018 16:11,0,68.198.143.35,100,65,1,7/31/2018 16:11,R_2sTgYWQnW2o7duK,,,,,40.19869995,-74.70700073,anonymous,EN,1,Chrome,67.0.3396.99,Windows NT 10.0,1920x1200,4,1,,3,,3,1,3,15,Good wine since good reviews,0,0,1,,99580090,French_English_long,0,0,0,1
7/31/2018 16:08,7/31/2018 16:11,0,47.249.92.253,100,164,1,7/31/2018 16:11,R_XYx5X4v6848zDAB,,,,,27.98320007,-82.46179962,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 6.1,1366x768,4,1,,3,,3,1,3,20,It looks like it may be a good wine.  I see it has good reviews.,0,1,1,,8855246,English_French_short,1,1,0,0
7/31/2018 16:09,7/31/2018 16:11,0,75.87.97.246,100,124,1,7/31/2018 16:11,R_1M0WtLORqqCDpQ4,,,,,27.67640686,-97.49369812,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 10.0,1600x900,1,1,,3,,4,1,5,12,"It looks like it would be a dark, strong-flavored wine.",0,0,0,,33446315,French_French_long,0,1,0,1
7/31/2018 16:08,7/31/2018 16:11,0,216.68.236.9,100,177,1,7/31/2018 16:11,R_24cU13OYyDkrM4V,,,,,39.26010132,-84.4890976,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 6.1,1920x1080,4,1,,3,,3,1,4,65.99,"it seems like a really simple type of wine that any one can purchase, not overly expensive, just kind of middle of the road ",1,1,1,,20719950,English_English_short,1,0,0,0
7/31/2018 16:07,7/31/2018 16:11,0,98.230.44.126,100,229,1,7/31/2018 16:11,R_1QLyyb4MINSx4bU,,,,,30.52520752,-84.33209991,anonymous,EN,2,Chrome,68.0.3440.75,Windows NT 6.1,1366x768,2,1,,3,,4,1,4,100,It is an expensive bottle of wine. Should be Excellent!,0,0,1,,6944851,English_German_short,1,0,1,0
7/31/2018 16:11,7/31/2018 16:12,0,134.139.34.49,100,47,1,7/31/2018 16:12,R_3sBRa6XarMnKRcO,,,,,33.77110291,-118.1423035,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 6.1,1920x1080,6,1,,3,,2,1,3,20,Looks very nice and visually appealing.,1,1,1,,40763995,English_English_short,1,0,0,0
7/31/2018 16:09,7/31/2018 16:12,0,24.199.63.22,100,133,1,7/31/2018 16:12,R_4OwQsNc0qyL41Gx,,,,,34.04780579,-118.2922974,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 6.1,1920x1080,3,1,,3,,3,1,3,64,I think this wine is very exotic and sophisticated.  I think that the taste would be phenomenal.,1,1,1,,91963402,English_German_short,1,0,1,0
7/31/2018 16:09,7/31/2018 16:12,0,73.59.58.52,100,178,1,7/31/2018 16:12,R_u7wAgCCulgJFTvX,,,,,47.54069519,-122.2711945,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 10.0,1366x768,4,1,,3,,3,2,3,18.99,It seems to be a popular wine with good reviews.,0,0,1,,61347791,French_German_short,0,0,1,0
7/31/2018 16:10,7/31/2018 16:12,0,70.77.150.50,100,104,1,7/31/2018 16:12,R_3Hqvk00KKnpHl46,,,,,50.90930176,-114.1027985,anonymous,EN,1,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,5,1,,3,,3,1,4,15.99,Middle of the road wine.  92/10 and a US wine.,0,0,1,,9453859,English_English_long,1,0,0,1
7/31/2018 16:10,7/31/2018 16:12,0,76.174.155.42,100,93,1,7/31/2018 16:12,R_2VCotDtXfV1Tjje,,,,,34.1920929,-118.4924011,anonymous,EN,1,Chrome,67.0.3396.99,Macintosh,1440x900,4,1,,3,,2,1,2,16.99,Its a standard bottle of red wine within the 15-20 dollar range ,0,0,1,,91639803,French_English_short,0,0,0,0
7/31/2018 16:09,7/31/2018 16:12,0,50.101.151.237,100,143,1,7/31/2018 16:12,R_31iJ7kDkH7cNlmw,,,,,43.66549683,-79.42040253,anonymous,EN,1,Safari,11.1.1,Macintosh,1280x800,3,1,,3,,2,2,2,42,The only impression is slightly coming from the age.,1,1,1,,47480256,English_German_long,1,0,1,1
7/31/2018 16:10,7/31/2018 16:12,0,47.220.211.190,100,129,1,7/31/2018 16:12,R_12scToNJRWQwzF9,,,,,30.3079071,-95.4315033,anonymous,EN,2,Chrome,67.0.3396.99,Macintosh,1280x800,2,1,,3,,2,1,2,50,My impression on this wine is that it's for classy people. ,1,1,1,,51530573,English_French_long,1,1,0,1
7/31/2018 16:10,7/31/2018 16:12,0,68.42.205.241,100,111,1,7/31/2018 16:12,R_3lWT7rEQlipLV1D,,,,,42.74229431,-86.06610107,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 10.0,1280x720,4,1,,3,,3,2,3,35,"It's elite, high society.",0,1,1,,65250797,French_English_long,0,0,0,1
7/31/2018 16:07,7/31/2018 16:12,0,76.169.79.231,100,289,1,7/31/2018 16:12,R_3oATIpyHS4BCK5V,,,,,34.18539429,-118.3908005,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 10.0,1366x768,1,2,spanish ,,1,4,2,4,100,it looks like nice and has different tastes of the wine. ,0,0,0,,45742282,French_German_long,0,0,1,1
