StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Male,Q3_Browser,Q3_Version,Q3_Operating System,Q3_Resolution,Household_Income,English_as_primary,Primary_Language_Non_English,Other_Language_Spoken,Other_Language_Spoken(non_english_primary),Drink_Frequency,Cab_Preference,Purchase_Frequency,Guess_the_Cost,Comment,Purchase_50,Purchase_35,Purchase_20,Milk_Cost,MTurkCode,Track,US_Origin,French_Purchasing_Page,German_Purchasing_Page,Long_Description
43312.67072,43312.67168,0,65.36.61.4,100,83,1,43312.67169,R_21tF4oZX0MVdw9L,,,,,30.49980164,-97.80819702,anonymous,EN,1,Firefox,61,Windows NT 10.0,1536x864,2,1,,3,,2,1,3,45,It is of good quality.,1,1,1,,58537745,English_English_short,1,0,0,0
43312.67093,43312.67191,0,75.110.108.8,100,84,1,43312.67191,R_2PtFaBkmsbl1USc,,,,,35.98640442,-77.85199738,anonymous,EN,2,Chrome,66.0.3359.158,Android 6.0.1,360x640,3,1,,3,,5,,5,20,It has a nice looking bottle label. ,0,0,0,,65778487,French_German_short,0,0,1,0
43312.67097,43312.67192,0,76.31.200.170,100,82,1,43312.67192,R_1hNlsWaWvEzLFWz,,,,,29.73950195,-95.38790131,anonymous,EN,1,Chrome,67.0.3396.99,Macintosh,1440x900,4,1,,3,,3,1,3,16,Seems like it would be good,0,0,1,,80177614,English_German_short,1,0,1,0
43312.67119,43312.67238,0,206.74.105.224,100,103,1,43312.6724,R_10PKWILW3WOmmui,,,,,34.36410522,-82.34400177,anonymous,EN,2,Chrome,67.0.3396.99,Macintosh,2560x1440,2,1,,3,,2,1,3,28,The tasting notes sound appealing. It looks like a nice wine. ,0,0,1,,74213986,French_English_long,0,0,0,1
43312.67182,43312.67264,0,184.89.75.82,100,71,1,43312.67265,R_1gRSxxnVuKI2kez,,,,,28.01699829,-80.67359924,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 6.3,1366x768,4,1,,3,,2,1,3,30,good,1,1,1,,66285864,English_German_long,1,0,1,1
43312.67116,43312.67299,0,138.128.18.198,100,158,1,43312.67299,R_tDrPNCcqYIC6lP3,,,,,34.05839539,-118.2779999,anonymous,EN,2,Chrome,68.0.3440.75,Windows NT 6.1,1024x768,1,1,,3,,3,1,3,20,To Get Body is Smoothly and take Sharply the skin by using wine.,1,1,1,,64995168,English_French_short,1,1,0,0
43312.67088,43312.673,0,71.63.14.119,100,183,1,43312.67301,R_pRZBvrHgwAFktqN,,,,,37.55220032,-77.45819855,anonymous,EN,2,Chrome,67.0.3396.99,Macintosh,1440x900,5,1,,3,,3,2,3,20,"I see that the evaluation means that it's highly rated, however, since it's a more recent year, I can't imagine that it is intensely expensive. Since it's from France, I imagine that contributes to its excellence.",0,0,1,,44515909,French_French_short,0,1,0,0
43312.67185,43312.67306,0,99.64.87.195,100,104,1,43312.67307,R_3Ddd0oIW5pihYk5,,,,,34.02639771,-84.69979858,anonymous,EN,2,Chrome,68.0.3440.84,Windows NT 6.1,1366x768,2,1,,3,,3,2,3,20,I think this is a good quality wine. The reviews of 5/5 stars give the impression it is of good quality and taste. I enjoy the simple label. ,0,0,1,,86036373,English_French_long,1,1,0,1
43312.67123,43312.67311,0,71.223.65.34,100,163,1,43312.67313,R_33a6lPyrCxyZIWJ,,,,,33.59089661,-112.3311005,anonymous,EN,2,Chrome,67.0.3396.99,Windows NT 10.0,1366x768,2,1,,3,,4,1,4,10,would probably taste good,0,0,0,,73243848,French_English_short,0,0,0,0
43312.67196,43312.67316,0,69.71.8.90,100,103,1,43312.67316,R_10Ah4RAjxr0ZlQx,,,,,37.146698,-93.08270264,anonymous,EN,1,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,6,1,,3,,4,1,4,24.95,I can only guess that it is of mediocre quality.,1,1,1,,40327086,French_German_short,0,0,1,0
43312.67248,43312.67334,0,75.133.98.163,100,75,1,43312.67334,R_2fdlJzQYsvI9jW1,,,,,41.46749878,-73.24060059,anonymous,EN,1,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,2,1,,3,,2,1,2,15,"Looks fine, basic label very English name for a French wine",0,0,0,,31992986,French_English_short,0,0,0,0
